id,member_num,,gender1,grade1,school1,major1,class1,,gender2,grade2,school2,major2,class2,,gender3,grade3,school3,major3,class3,试题编号,初审结果,average_gpa,学院差异性,性别多样性,专业多样性,ISC,DNC,HT,分类初审结果
46,3,,女,2023,财政金融学院,金融学数学,金融数学双学位实验班,,女,2023,财政金融学院,金融大类,金融二班,,女,2023,财政金融学院,金融科技,金融科技实验班,B,北京一等奖,3.51,0,0,1.098612289,0.634284101,4,0,市级奖项
47,3,,男,2023,统计学院,统计学类,2304,,男,2023,统计学院,统计学类,2301,,男,2023,统计学院,应用经济-数据科学双学位实验班,2305,B,成功参赛,3.353333333,0,0,0.636514168,0.367491626,3,0,成功参赛（未获奖）
48,3,,男,2023,商学院,营销管理数据科学,营销管理-数据科学实验班,,女,2023,信息学院,未分流,2023本科一班,,男,2023,商学院,营销管理-数据科学双主学位项目,营销管理-数据科学实验班,C,北京二等奖,3.49,1.191986184,0.636514168,1.098612289,0.297434171,4,0.318257084,市级奖项
49,3,,男,2023,高瓴人工智能学院,人工智能,23级拔尖2班,,男,2023,统计学院,统计学,统计学院2304本科四班,,男,2023,高瓴人工智能学院,人工智能,23级拔尖2班,C,北京一等奖,3.446666667,0.337769934,0,0.636514168,0.318456416,2,0,市级奖项
50,3,,男,2022,统计学院,数据科学与大数据技术,本科4班,,女,2022,经济学院,经济学类,本科2班,,男,2022,高瓴人工智能学院,人工智能,本科一班,B,北京二等奖,3.546666667,0.383015756,0.636514168,1.098612289,0.362830198,3,0.318257084,市级奖项
51,3,,男,2023,财政金融学院,金融学类,金融四班,,男,2023,信息学院,计算机类（图灵实验班）,图灵实验班,,男,2023,财政金融学院,金融科技,金融科技实验班,C,成功参赛,3.496666667,0.605953091,0,1.098612289,0.550278898,6,0,成功参赛（未获奖）
52,3,,女,2023,信息学院,理科试验班,2班,,男,2023,统计学院,“统计-公共管理”双学士学位复合型人才培养项目,统计学院2023级本科5班,,男,2023,数学学院,数学与应用数学,数学英才班,B,成功参赛,3.34,0.353443303,0.636514168,1.098612289,0.376151699,3,0.318257084,成功参赛（未获奖）
53,3,,女,2022,统计学院,数据科学-营销管理,22级本科五班,,女,2022,商学院,营销管理-数据科学,营销管理数据科学本科实验班,,女,2022,统计学院,经济统计,22级本科四班,C,北京二等奖,3.363333333,0.329253192,0,1.098612289,0.563807007,0,0,市级奖项
54,3,,女,2023,高瓴人工智能学院,人工智能,2023级本科1班,,女,2023,统计学院,统计学类,2023级本科1班,,女,2023,高瓴人工智能学院,人工智能,2023级本科1班,B,北京一等奖,3.61,0.337769934,0,0.636514168,0.318456416,0,0,市级奖项
55,3,,男,2022,信息学院,理科试验班,2201,,女,2022,财政金融学院,税收学,2052级本科财税班,,男,2023,财政金融学院,财政学,2023级本科财税班,C,成功参赛,3.583333333,0.628772725,0.636514168,1.098612289,0.269055081,3,0.636514168,成功参赛（未获奖）
56,3,,女,2023,应用经济学院,经济学类,2,,男,2022,数学学院,数学与应用数学,理科试验班01班,,男,2022,信息学院,理科试验班类,信息学院2202,C,北京一等奖,3.506666667,0.560100634,0.636514168,1.098612289,0.291367037,2,0.636514168,市级奖项
57,3,,男,2023,高瓴人工智能学院,人工智能,二班,,男,2023,财政金融学院,金融数学,金融数学实验班,,男,2023,财政金融学院,金融数学,金融数学实验班,B,成功参赛,3.616666667,0.181883533,0,0.636514168,0.327851826,4,0,成功参赛（未获奖）
